Full_Name,SSN,Birth_Date,Age,Gender,Total_Charge,Diagnosis
Arthur Alvarez,877-02-0825,1/10/1975,42,Male,675.8,S0047
Sean Oliver,304-94-3722,5/31/1959,58,Male,1222.36,T2117
Jeremy Peters,627-98-2914,9/12/2009,8,Male,1288.76,T2117
Amy Cooper,322-66-6037,6/19/1955,62,Female,488.54,T2117
Stephanie Vasquez,478-73-2603,7/21/1950,67,Female,1789.29,S0047
Sara Fields,512-88-3754,9/15/2007,10,Female,1319.74,R1934
Michelle Ryan,235-35-9356,12/15/2009,7,Female,348.36,V0401
Louise Dunn,778-82-7064,5/25/1952,65,Female,1276.23,X9647
Emily Burke,162-36-0177,12/1/1978,38,Female,1852.18,R1934
Bonnie Ferguson,446-69-7456,6/30/1972,45,Female,182.36,M0847
Nicholas Andrews,265-21-3310,5/6/1939,78,Male,1396.87,Y0703
Jacqueline Montgomery,446-66-1421,4/9/1969,48,Female,1231.2,V0401
Earl Ward,348-94-8675,2/1/1962,55,Male,698.27,S0047
Mildred Peters,566-15-4717,4/1/1979,38,Female,154.75,T2117
Joseph Duncan,901-79-8694,2/1/1957,60,Male,1649.3,Z8559
Brenda Butler,505-96-0169,6/30/1979,38,Female,1454.65,O0989
Pamela Harper,765-30-5129,12/19/1987,29,Female,1024.58,S0047
Clarence Gonzales,767-23-4638,10/5/1991,26,Male,624.11,A3790
Laura Murphy,849-17-9239,12/4/2003,13,Female,1896.44,G4021
Lori Black,520-87-5214,5/26/1971,46,Female,1812.38,E1037
Brenda Torres,596-81-8101,9/1/1972,45,Female,1830.15,I7021
Phyllis Gardner,529-81-7494,7/20/1939,78,Female,1809.29,T2117
Keith Vasquez,434-42-9213,7/29/2015,2,Male,218.36,S0047
Eric Jackson,296-76-3384,3/31/1940,77,Male,1334.2,H0242
Betty Reid,814-59-9090,9/24/1990,27,Female,1806.62,S0047
Laura Nichols,118-45-4107,4/21/2008,9,Female,206.96,S0047
Arthur Robertson,218-00-2926,3/31/1972,45,Male,619.75,S0047
Betty Lawrence,161-16-5850,9/15/2004,13,Female,64.89,S0047
Cynthia Carter,573-99-2280,7/25/1973,44,Female,1192.7,S0047
Heather Meyer,734-37-9568,9/27/1999,18,Female,866.87,V0401
Charles Collins,956-56-9207,8/18/2003,14,Male,1153.24,T2117
Carol George,558-90-6371,1/23/1938,79,Female,1537.17,E1037
Lawrence Bell,986-93-6221,1/19/2001,16,Male,20.36,S0047
Diana Murphy,840-74-5700,5/3/1994,23,Female,664.34,O0989
Harold Simpson,794-86-6528,5/1/1991,26,Male,392.94,Y0703
Angela Gordon,122-91-8578,6/14/2013,4,Female,146.21,M0847
Christopher Olson,980-68-3580,10/30/1958,58,Male,1422.8,S0047
Phyllis Smith,243-39-0901,12/13/1950,66,Female,1641.11,T2117
Julie Hunt,118-27-1723,7/16/2002,15,Female,1799.89,S0047
Melissa Webb,841-27-5816,3/14/1959,58,Female,829.61,S0047
Katherine Simmons,372-97-1167,6/6/2009,8,Female,1376.74,T2117
Angela Black,655-26-0675,8/26/1968,49,Female,1311.81,K5530
Jeffrey Andrews,315-39-3343,6/15/1992,25,Male,182.72,F1123
Henry Martin,340-82-4604,2/21/1943,74,Male,1786.05,X9647
Scott Walker,707-85-6460,9/11/1954,63,Male,1954.28,M0847
Marilyn Edwards,113-78-8995,11/1/1987,29,Female,1469.35,S0047
Jimmy Wells,335-70-3431,11/5/1994,22,Male,1572.46,S0047
Gregory Payne,784-43-2504,7/22/1941,76,Male,941.17,S0047
Fred Bryant,386-06-1764,1/31/2005,12,Male,1521.1,L2082
Ruth Hicks,430-44-6870,5/15/1960,57,Female,237.76,M0847
Shawn Foster,517-66-0667,10/27/2015,1,Male,1036.96,M0847
Roger Kelly,690-10-3072,12/28/1946,70,Male,476.24,S0047
Theresa Griffin,385-33-5859,3/5/1969,48,Female,420.79,X9647
Adam Duncan,971-29-5267,1/8/2000,17,Male,740.67,T2117
Willie Myers,914-81-5363,5/10/1938,79,Male,1888.74,M0847
Jonathan Stone,111-08-2934,3/30/1975,42,Male,1367.4,T2117
Scott Morrison,885-06-9519,9/10/1951,66,Male,1575.04,S0047
Jonathan Medina,843-23-0784,1/25/1985,32,Male,1439.71,R1934
Jeremy Roberts,679-21-6618,12/4/1977,39,Male,35.2,S0047
Jason Rose,929-72-6937,4/27/2014,3,Male,309.55,S0047
Victor Frazier,722-55-2397,6/4/1963,54,Male,660.39,S0047
Kenneth Morrison,113-08-3081,3/14/1993,24,Male,439.08,V0401
Albert Johnson,876-46-7474,11/28/1976,40,Male,1163.96,V0401
Kathryn Ray,294-07-4952,7/19/2003,14,Female,736.93,V0401
Roger Ramos,687-77-2108,4/22/1950,67,Male,39.51,H0242
Anthony Garza,700-28-2842,11/23/1998,18,Male,567.07,S0047
Judy Oliver,283-52-9301,8/25/1943,74,Female,731.36,O0989
Earl Warren,263-06-7960,5/21/1997,20,Male,1743.34,S0047
Kenneth Collins,709-86-5218,7/9/1973,44,Male,38.7,S0047
Wanda Perry,605-01-2244,5/11/1967,50,Female,542.05,T2117
Craig Gray,750-51-6088,5/13/1965,52,Male,1416.37,M0847
Keith Ward,250-20-9386,2/9/1954,63,Male,1706.4,S0047
Walter Fox,368-62-0922,6/18/1996,21,Male,1850.55,T2117
Norma Fernandez,344-06-0388,1/12/1943,74,Female,1288.77,S0047
Lawrence Martinez,204-89-0879,7/5/1955,62,Male,137.61,H0242
Julia Stevens,351-79-4813,3/5/1950,67,Female,752.66,S0047
Jennifer Moreno,532-20-1643,7/12/1981,36,Female,1942.84,S0047
Gerald Hunter,996-27-9693,5/11/1976,41,Male,43.31,S0047
David Miller,463-41-3644,11/29/1992,24,Male,34.08,S0047
Ernest Simmons,344-70-4642,11/19/1948,68,Male,407.87,M0847
Earl Hall,813-73-6365,3/29/2005,12,Male,817.31,S0047
Todd Russell,283-87-3863,6/26/1969,48,Male,474.3,L2082
Helen Jones,318-73-3029,5/7/1970,47,Female,1011.39,Z8559
Teresa Cruz,690-30-6545,5/15/2015,2,Female,1427.62,T2117
Fred Barnes,345-04-8663,4/14/1983,34,Male,439.95,S0047
Carolyn Gordon,168-64-9969,8/6/1952,65,Female,1877.15,S0047
Walter Cruz,982-16-9915,5/31/1998,19,Male,1664.09,T2117
Beverly Williamson,788-99-4334,5/2/2003,14,Female,296.75,S0047
Douglas Martinez,539-19-9175,6/30/1950,67,Male,1003.38,S0047
George Moreno,774-61-6766,7/5/1947,70,Male,118.63,X9647
Ralph Reid,910-89-7809,3/26/1977,40,Male,594.44,T2117
Louise Reed,192-25-3784,1/25/1997,20,Female,1135.02,W1130
Harold Wheeler,839-29-2900,11/18/1994,22,Male,723.27,T2117
Jane Chavez,559-36-8973,11/9/1997,19,Female,1164.35,M0847
Julie Hamilton,630-67-9533,12/23/1979,37,Female,533.3,M0847
Eugene Dunn,492-84-2649,6/15/1941,76,Male,542.73,S0047
Jimmy Fernandez,286-46-5694,1/26/2000,17,Male,496.8,S0047
Martin Daniels,825-73-2301,11/30/1951,65,Male,613.15,T2117
Alice Gilbert,870-98-0794,12/29/1994,22,Female,638.88,S0047
James Stanley,135-59-3117,11/11/1959,57,Male,1376.32,S0047
Aaron Willis,975-11-6389,10/4/1962,55,Male,333.92,S0047
Brandon Walker,893-84-5035,9/13/1995,22,Male,990.7,Y0703
Christine Long,232-35-9515,3/2/1997,20,Female,130.41,T2117
Douglas Stanley,175-50-4108,8/19/2000,17,Male,432.57,H0242
Kelly Fernandez,241-64-8147,6/28/1956,61,Female,1956.04,R1934
Virginia Myers,463-98-2199,12/3/2011,5,Female,506.3,T2117
Beverly Moore,728-95-9640,5/8/1939,78,Female,1458.22,V0401
Thomas Murphy,766-18-7504,12/4/1967,49,Male,384.62,M0847
Juan Armstrong,530-14-9419,5/5/1953,64,Male,417.49,M0847
Victor Fisher,260-92-9310,8/24/1966,51,Male,62.9,N6089
Roy Harper,226-09-1640,4/30/1953,64,Male,913.73,S0047
Benjamin Gibson,240-95-1710,7/17/1943,74,Male,442.04,Z8559
Amy Reynolds,111-31-1758,8/7/1970,47,Female,1465.43,O0989
Diana Owens,215-97-1371,8/9/1996,21,Female,1273.08,S0047
Billy Perry,445-85-7874,11/20/2009,7,Male,1222.85,S0047
Jose Griffin,149-11-7842,7/4/2014,3,Male,135.54,S0047
Ernest Morrison,423-07-0330,5/31/2009,8,Male,1441.67,C4490
Mildred Gonzales,742-28-6650,6/16/2004,13,Female,619.67,S0047
Russell Gilbert,567-40-1394,3/30/2016,1,Male,637.85,S0047
Judy Taylor,487-72-1866,1/19/1945,72,Female,1889.4,S0047
Raymond Sanders,737-83-2126,2/24/1960,57,Male,1626.16,S0047
Janet Andrews,103-65-8983,4/11/1957,60,Female,1282.12,W1130
Edward Price,974-34-0107,12/31/1966,50,Male,351.49,C4490
Martin Taylor,890-74-4335,5/24/1971,46,Male,1371.02,C4490
Jacqueline Stanley,443-64-9903,8/18/2008,9,Female,1684.96,S0047
Gary Fowler,314-51-6436,9/21/1990,27,Male,398.74,E1037
Tina Riley,889-31-9233,7/31/1985,32,Female,625.11,B2701
Diana Porter,290-70-8768,5/8/1964,53,Female,832.51,D3130
Evelyn Hall,442-03-8169,10/8/2002,14,Female,1357.33,S0047
Gary Perry,264-11-5879,4/28/1967,50,Male,1954.03,S0047
George Reynolds,256-11-2505,5/30/1955,62,Male,254.64,M0847
Theresa Montgomery,159-75-1628,4/3/2005,12,Female,1942.49,S0047
Judy Ray,300-98-5364,7/15/1955,62,Female,1085.67,S0047
Nicole Meyer,240-46-3938,2/22/1953,64,Female,378.78,R1934
Phyllis Peterson,216-17-0778,12/19/1968,48,Female,626.94,S0047
Samuel Williamson,234-65-6223,5/15/2004,13,Male,922.27,O0989
Joe Richards,706-29-5728,10/18/1967,49,Male,534.01,T2117
Emily Mason,317-68-8554,10/21/1946,71,Female,641.83,T2117
Cynthia Thompson,773-19-2547,12/31/2014,2,Female,74.24,M0847
Louise Perez,379-28-5574,4/12/1988,29,Female,660.23,T2117
Annie Hayes,476-81-3413,11/17/1969,47,Female,938.05,F1123
Heather Nguyen,758-04-4601,11/7/1981,35,Female,1629.85,S0047
Ashley Rose,542-27-4622,4/28/1960,57,Female,95.56,T2117
Roger Rodriguez,946-01-9118,4/21/1984,33,Male,1507.5,R1934
Terry Ortiz,706-22-6698,11/25/2002,14,Male,1948.67,T2117
Alice Lewis,441-51-0377,6/17/1992,25,Female,415.58,S0047
Janet Stephens,632-87-0242,3/23/1947,70,Female,1951.25,T2117
Paula King,971-92-4575,6/11/1977,40,Female,952.89,S0047
Catherine Stevens,696-92-3392,3/14/1960,57,Female,1123.17,R1934
Elizabeth Greene,404-60-4966,10/27/1964,52,Female,1193.62,T2117
Roger Hunt,518-40-6959,10/14/1979,37,Male,1809.53,S0047
Steve Wallace,861-97-8664,4/4/1969,48,Male,689.54,C4490
Irene Hansen,301-29-3644,7/15/1975,42,Female,1879.52,M0847
Amanda Freeman,642-55-2821,6/17/1980,37,Female,1871.97,L2082
Patrick Allen,847-06-1615,1/13/2004,13,Male,1763.58,C4490
Kelly Gutierrez,888-72-8628,7/1/2009,8,Female,426.96,M0847
Jose Dean,108-99-8291,5/27/1962,55,Male,611.01,M0847
Kathleen Mccoy,270-53-7063,9/28/1967,50,Female,514.6,S0047
Jose Scott,129-17-8918,6/30/1999,18,Male,1128.93,S0047
Cheryl Perez,614-25-3746,11/7/1998,18,Female,1318.66,Y0703
Harry Pierce,524-27-0939,1/6/1961,56,Male,1474.33,S0047
Keith Richards,911-87-8122,8/4/1937,79,Male,36.82,T2117
Daniel Snyder,658-87-3149,5/5/1955,62,Male,1332.49,S0047
Pamela Hanson,697-75-3818,10/18/1999,17,Female,490.29,S0047
Justin Pierce,698-50-1332,4/10/2006,11,Male,867.79,M0847
Sean Grant,460-74-7206,6/1/2012,5,Male,1953.37,M0847
Jessica Phillips,311-53-2295,8/7/1941,76,Female,381.21,X9647
Steve Crawford,968-69-3404,10/7/1998,19,Male,1700.37,Q7181
Janet Banks,988-03-9953,9/30/1968,49,Female,715.04,S0047
Joyce Morrison,281-25-9414,10/7/1940,77,Female,1484.35,T2117
Roger Andrews,100-77-0044,9/22/1981,36,Male,442.79,S0047
Betty Scott,971-85-9229,7/5/1978,39,Female,98.68,S0047
Matthew Ferguson,942-68-8136,3/6/2010,7,Male,1101.11,S0047
Daniel Mitchell,469-99-6156,7/2/1940,77,Male,254.07,S0047
Steven Morrison,939-09-3434,4/18/1956,61,Male,946.8,I7021
Patrick Baker,770-32-0598,5/17/1954,63,Male,1487.19,S0047
Frances Hayes,663-97-5711,10/28/1994,22,Female,1713.22,S0047
Deborah Berry,515-73-2474,3/20/1987,30,Female,383.33,T2117
Stephanie Simmons,295-50-5694,2/26/1973,44,Female,1457.58,S0047
Rachel Bennett,964-66-1750,11/20/1937,79,Female,732.11,S0047
Jason Burns,178-57-2398,7/12/1991,26,Male,1428.1,S0047
Nicholas Martinez,675-65-7213,12/1/1980,36,Male,275.15,S0047
Carlos Carpenter,425-78-3023,10/13/2003,13,Male,1247.33,T2117
Billy Burns,152-81-1361,7/22/1988,29,Male,12.21,T2117
Annie Hunter,704-19-8050,9/4/1976,41,Female,63.63,S0047
Larry Ryan,500-39-4693,4/7/1983,34,Male,668.53,S0047
Laura Parker,709-81-0971,3/20/2000,17,Female,1889.71,Z8559
David Perez,993-77-9690,2/8/1980,37,Male,1947.34,T2117
Diane Morales,157-73-4129,9/4/1944,73,Female,255.91,S0047
Beverly Taylor,412-93-2589,1/30/1973,44,Female,344.76,M0847
Doris Dixon,946-61-5561,5/17/1939,78,Female,740.24,Y0703
Brandon Moreno,532-91-1704,6/20/2009,8,Male,1739.95,E1037
Nicole Perkins,694-45-8316,5/6/2010,7,Female,1007.6,S0047
Adam Parker,624-64-5400,10/30/1978,38,Male,801.9,S0047
Rachel Ryan,338-57-4059,12/4/1950,66,Female,422.76,T2117
Catherine Gordon,537-60-8441,4/2/1974,43,Female,1370.8,S0047
Wanda Walker,345-24-1144,5/9/1991,26,Female,457.63,P0822
Stephanie Sanders,398-27-5849,5/24/1982,35,Female,1142.76,Y0703
Melissa Nguyen,705-59-1581,10/25/2011,5,Female,323.69,Q7181
Peter Gutierrez,233-33-2310,1/12/1941,76,Male,1748.46,W1130
Karen Edwards,720-01-7467,3/2/2005,12,Female,162.77,W1130
Kimberly Dixon,637-36-3141,10/14/1978,38,Female,147.67,S0047
Joyce Riley,583-29-8966,4/20/1991,26,Female,1671.66,S0047
Jean Ferguson,907-45-4620,6/14/1976,41,Female,187.83,W1130
Billy Mendoza,405-44-9467,9/9/2005,12,Male,322,M0847
Samuel Murphy,274-86-8115,6/25/1970,47,Male,1651.58,S0047
Stephen Martin,568-67-8432,8/20/1980,37,Male,166.3,T2117
Barbara Reynolds,967-92-7358,9/11/1943,74,Female,1758.38,O0989
Jeffrey Carter,526-42-5777,6/4/1974,43,Male,1751.25,S0047
Wayne Spencer,524-73-2749,4/30/1980,37,Male,48.46,S0047
Kenneth Rice,822-66-1553,6/1/1977,40,Male,1358.59,P0822
Alan Knight,687-24-2003,12/31/2010,6,Male,429.57,S0047
Ann Coleman,538-68-9567,4/17/1970,47,Female,537.52,V0401
Norma Wood,162-16-7756,6/14/1956,61,Female,1830.05,S0047
Matthew Shaw,378-91-5816,7/10/1979,38,Male,1664.73,B2701
Rose Murray,517-05-5558,7/4/1982,35,Female,305.8,S0047
John Cole,262-83-5705,4/16/2010,7,Male,532.13,T2117
Timothy Foster,788-54-9689,1/14/1953,64,Male,72.27,S0047
Donald Collins,526-65-5239,3/14/1958,59,Male,1656.27,S0047
Bruce Baker,834-14-9843,3/28/1998,19,Male,605.92,F1123
Joe Butler,922-81-9199,12/24/1947,69,Male,384.42,S0047
Antonio Payne,805-70-0302,12/19/1986,30,Male,1956.86,S0047
Carl Cunningham,113-44-1645,1/14/2003,14,Male,1655.39,S0047
Kathy Williams,300-20-7236,8/19/1970,47,Female,761.13,S0047
Robert Gardner,460-94-7074,5/22/1984,33,Male,1380.3,T2117
Linda Flores,609-79-7540,10/24/1950,66,Female,537.98,O0989
Harry Marshall,952-10-8582,4/5/1982,35,Male,278.22,S0047
Sandra Howell,852-85-6995,9/21/1976,41,Female,795.3,V0401
Amanda Morales,918-49-6864,5/18/1945,72,Female,1076.38,D3130
Deborah Johnston,865-12-3042,9/22/2015,2,Female,1565.87,O0989
Frances Jackson,429-08-0878,1/17/1946,71,Female,227.58,S0047
Jerry Harrison,455-02-7034,5/24/1981,36,Male,1485.04,V0401
Gloria Bryant,403-55-3545,1/21/1991,26,Female,799.44,D3130
Roger Franklin,480-11-5786,8/12/2008,9,Male,1765.15,O0989
Paula Grant,503-70-0200,12/2/1972,44,Female,330.85,S0047
Timothy Barnes,497-03-3246,7/20/2014,3,Male,1249.93,S0047
Cheryl Martinez,555-01-5934,3/19/2010,7,Female,1305.02,X9647
Phillip Medina,255-37-4231,3/22/1968,49,Male,1272.15,K5530
Jean Stewart,642-00-8843,3/7/1956,61,Female,641.01,D3130
Doris Cook,551-56-4363,3/18/1983,34,Female,1317.42,S0047
Randy Simmons,116-07-8117,12/9/1992,24,Male,905.38,S0047
Raymond Webb,724-27-3979,10/20/1941,76,Male,1623.25,M0847
Judy Mitchell,492-26-4175,12/10/2015,1,Female,347.44,S0047
Adam Sanders,227-91-1828,4/24/1954,63,Male,944.34,T2117
Kathleen White,960-28-1782,3/11/1958,59,Female,1383.74,S0047
Christopher Stanley,495-94-0542,10/2/1999,18,Male,1716.5,N6089
Eugene Hanson,980-15-8940,7/30/1992,25,Male,1020.58,V0401
Julia Torres,585-20-0062,11/6/1970,46,Female,1163.24,S0047
Alice Kim,697-49-0190,7/25/1938,79,Female,900.99,L2082
Julia Turner,479-06-7950,9/6/1980,37,Female,1550.27,S0047
Tammy Hunt,664-60-8344,9/26/2007,10,Female,812.86,S0047
Irene Wheeler,466-70-0492,7/26/1951,66,Female,515.87,S0047
Steven Richardson,978-25-9963,5/10/1965,52,Male,595.57,T2117
Stephen Price,147-66-2893,4/11/1944,73,Male,609.45,S0047
Shawn Ward,908-78-6268,8/30/1954,63,Male,57.68,T2117
Susan Jacobs,909-54-5963,1/13/2011,6,Female,860.02,M0847
Dennis Montgomery,856-27-4248,8/8/1940,77,Male,1911.38,S0047
Louise Mendoza,427-01-5091,10/30/1937,79,Female,65.96,B2701
Dorothy Bradley,628-18-9057,11/25/1976,40,Female,576.04,M0847
Martha Rice,521-71-6207,9/24/1956,61,Female,1376.16,S0047
Dennis Marshall,162-75-3032,9/26/1969,48,Male,730.48,M0847
Patrick Webb,407-76-3772,6/19/1971,46,Male,401.45,H0242
Phillip Parker,201-08-4425,11/30/1944,72,Male,555.94,S0047
Eugene Price,570-71-0777,10/19/2007,9,Male,1823.7,S0047
William Matthews,137-10-1575,12/3/1968,48,Male,1943.63,L2082
Andrea Mendoza,183-32-9020,8/13/1945,72,Female,709.01,V0401
Kathleen Clark,235-74-8118,5/22/2007,10,Female,1425.48,Q7181
Lawrence Baker,265-77-2189,11/20/1968,48,Male,648.26,T2117
Edward Peters,603-10-2121,1/19/1969,48,Male,1114.29,T2117
Ralph Daniels,733-13-2978,9/16/1948,69,Male,335.3,S0047
Richard Miller,127-76-1117,2/25/1955,62,Male,1710.45,S0047
Wayne Lynch,639-20-2923,6/25/1945,72,Male,898.74,S0047
Michelle Marshall,388-05-1333,2/22/2005,12,Female,363.18,S0047
Jennifer Wood,314-02-0785,4/11/1951,66,Female,1114.02,S0047
Harry Robertson,145-38-7712,11/13/1954,62,Male,593.02,S0047
Henry Gonzales,581-60-9197,2/15/1952,65,Male,1901.3,E1037
Roger Pierce,444-61-5061,1/29/2003,14,Male,401.47,S0047
Ruth Baker,381-45-9071,10/12/1977,40,Female,594.58,L2082
Aaron Mills,208-20-7416,2/11/1959,58,Male,1194.28,R1934
Steve Stephens,908-46-3952,9/4/1966,51,Male,141.52,H0242
Marie Matthews,208-24-4517,11/23/1984,32,Female,1542.47,M0847
Dorothy Morgan,874-90-6742,5/23/2010,7,Female,1654.12,S0047
Joyce Fernandez,725-22-5866,3/20/2003,14,Female,601.71,T2117
Jerry Arnold,771-30-9870,8/6/1960,57,Male,547.82,W1130
Beverly Murphy,427-13-6611,10/24/1999,17,Female,712.63,S0047
Jonathan Elliott,586-03-3407,10/6/1984,33,Male,823.12,S0047
Ronald Burns,605-32-4777,5/24/1949,68,Male,173.43,S0047
Joe Crawford,521-33-8048,10/18/1943,74,Male,985.24,H0242
Frank Montgomery,352-71-3964,1/12/1953,64,Male,1682.3,S0047
Kathryn Carroll,799-76-6066,12/4/1986,30,Female,735.33,S0047
Robin Reid,431-15-2854,3/15/1979,38,Female,442.64,S0047
Phillip Hawkins,488-34-4589,11/4/1979,37,Male,625.15,T2117
Henry Burke,959-97-8661,9/29/1974,43,Male,546.6,T2117
Marie Martin,217-46-2867,1/2/1991,26,Female,721.91,S0047
Jesse Cole,299-96-0335,7/27/1977,40,Male,1412.4,M0847
Brandon Martinez,871-96-1506,6/28/1964,53,Male,1559.94,O0989
Shirley Meyer,634-90-6650,10/13/1962,55,Female,1693.2,S0047
Jason Austin,454-03-9473,6/14/1967,50,Male,1898.37,H0242
Lawrence Ruiz,697-32-5599,6/23/1989,28,Male,164.27,S0047
Larry Hicks,679-24-5915,7/17/1982,35,Male,1421.36,T2117
Jason Stevens,168-82-1099,5/8/1981,36,Male,1893.17,T2117
Randy Webb,722-59-4614,5/22/1941,76,Male,1265.62,S0047
Marilyn Gutierrez,500-83-9874,12/24/2009,7,Female,953.05,T2117
Barbara Tucker,884-72-7705,6/6/1937,79,Female,92.23,D3130
Mark Gutierrez,720-28-1424,6/4/1972,45,Male,1016.27,S0047
Anthony Hill,430-33-5168,9/13/1962,55,Male,890.21,K5530
Eric Simmons,521-24-1573,1/22/1994,23,Male,1006.44,O0989
Carolyn Sanchez,761-16-8436,11/10/1953,63,Female,79.78,M0847
Henry Marshall,302-19-5016,12/4/1987,29,Male,562.68,M0847
Catherine Bishop,109-53-9073,5/22/1982,35,Female,900.85,S0047
Rachel Davis,109-49-1615,3/21/1951,66,Female,963.14,S0047
Scott Snyder,599-24-9999,7/26/1963,54,Male,1351.16,S0047
Ralph Shaw,443-50-5302,9/2/1950,67,Male,112.51,S0047
Donald Rodriguez,768-02-3543,6/21/1943,74,Male,1488.52,S0047
Martin Simmons,521-92-1454,12/11/1957,59,Male,977.37,F1123
Harry Watson,416-20-7462,7/23/2010,7,Male,1673.94,S0047
Thomas Warren,907-46-4552,5/12/2005,12,Male,1526.54,T2117
Alan Patterson,181-88-8102,2/26/2007,10,Male,19.33,T2117
Timothy Burton,624-45-5491,9/24/1939,78,Male,373.92,T2117
Terry Gutierrez,750-80-5893,6/15/1963,54,Male,1752.31,S0047
Albert Anderson,466-35-8358,5/30/1958,59,Male,709.24,O0989
Richard Thompson,350-69-6293,9/21/1956,61,Male,444.81,T2117
Michael Porter,336-22-0551,2/7/1989,28,Male,1689.75,M0847
Elizabeth Cunningham,720-20-7316,5/21/1998,19,Female,1599.99,T2117
Lisa Medina,605-58-6480,4/9/1968,49,Female,355.23,T2117
Kimberly Ferguson,808-82-1953,9/28/1980,37,Female,1371.47,G4021
Brian Lawrence,805-59-7069,2/21/1973,44,Male,505.62,S0047
Phyllis Gonzales,816-51-5635,11/24/1974,42,Female,1098.82,V0401
Michelle Wheeler,448-88-3134,5/3/1995,22,Female,1648.19,T2117
Kathryn Hughes,499-08-2274,9/3/1957,60,Female,637.13,T2117
Carol Garza,178-74-7727,6/29/1941,76,Female,1947.24,I7021
Adam Owens,266-69-5794,1/7/1947,70,Male,1104.46,S0047
Jacqueline Henry,720-20-3100,4/15/2001,16,Female,640.73,S0047
Carlos Henderson,233-09-2686,7/24/1954,63,Male,1266.18,M0847
Lois Ward,783-44-9540,5/2/1996,21,Female,714.76,S0047
Carlos Jordan,940-81-4521,10/27/1970,46,Male,1469.64,S0047
Anna Stanley,576-85-3788,12/25/1952,64,Female,210.91,S0047
Marie Chavez,705-69-3097,5/2/2006,11,Female,1596.43,S0047
Martin Carter,392-69-4279,9/15/1938,79,Male,248.53,T2117
Louis Hall,827-00-6461,2/25/1972,45,Male,1630.38,Y0703
Clarence Vasquez,907-93-9840,5/14/2000,17,Male,1563.38,H0242
Gregory Lawson,660-84-3630,9/22/1943,74,Male,156.46,N6089
Andrew Perry,861-26-8858,1/6/2007,10,Male,11.84,S0047
Robert Reid,677-27-0871,1/2/2009,8,Male,751.38,Q7181
Martha Grant,323-26-3302,11/21/1989,27,Female,1643.22,M0847
Kathryn Clark,902-20-2980,9/11/2006,11,Female,79.59,S0047
Ruth Williams,313-60-5387,9/4/1975,42,Female,544.54,S0047
Lois Lane,631-55-7222,3/29/2016,1,Female,1238.68,I7021
Ruby Holmes,506-79-2487,1/12/1965,52,Female,1265.01,M0847
Anne Brown,597-34-4949,1/16/1990,27,Female,499.35,S0047
Cheryl Ortiz,218-19-1035,4/15/1972,45,Female,1596.65,D3130
Julie Bailey,360-15-2827,3/25/1949,68,Female,781.61,M0847
Martha Martin,195-04-8863,6/2/1956,61,Female,1098.65,S0047
Cheryl Carter,469-44-7512,9/9/1949,68,Female,632.32,Y0703
Tina Young,724-54-5080,1/30/1986,31,Female,150.88,T2117
Ralph Nelson,333-34-0720,9/4/1993,24,Male,1205.39,M0847
Charles Pierce,651-17-9227,9/20/1950,67,Male,1926.23,M0847
Melissa Wood,402-46-3634,7/4/1978,39,Female,565.42,J9509
Patrick Stevens,452-74-6831,3/10/1972,45,Male,45.37,S0047
Kathleen Peterson,251-43-5903,3/9/1968,49,Female,1182.75,J9509
Elizabeth Romero,441-28-1205,8/23/1999,18,Female,758.43,O0989
Irene Lawson,280-18-7250,6/6/2003,14,Female,749.9,S0047
Amanda Thompson,515-47-9971,3/27/1979,38,Female,1967.46,T2117
Jose Ruiz,423-25-5411,4/14/2015,2,Male,936.47,S0047
Paula Perry,675-40-6754,10/30/1951,65,Female,389.08,T2117
Matthew Stanley,100-25-9445,7/31/1987,30,Male,1467.96,Y0703
Jesse Burns,169-88-3862,7/12/1995,22,Male,767.77,M0847
Tammy Sanders,242-83-3209,3/4/1964,53,Female,1858.23,M0847
Teresa Simpson,826-81-2411,8/20/2002,15,Female,1791.71,S0047
Albert Webb,626-54-0058,8/28/1962,55,Male,490.78,V0401
Denise Hunt,410-42-0254,3/17/1985,32,Female,1145.56,T2117
Lois Turner,754-17-7220,2/1/1950,67,Female,1176.2,N6089
William Wright,643-68-6069,12/9/1970,46,Male,1558.27,S0047
Cheryl Lawrence,423-32-7401,6/25/2003,14,Female,1702.76,S0047
Clarence Coleman,721-12-3957,12/5/2010,6,Male,1181.18,S0047
Susan Duncan,391-14-5499,10/23/1989,27,Female,558.8,S0047
Jerry Thomas,361-26-1894,8/9/1955,62,Male,646.13,S0047
Barbara Lopez,170-01-9930,11/10/1956,60,Female,1000.78,S0047
Paula Bowman,615-76-3804,12/25/1974,42,Female,628.28,T2117
Linda Jordan,429-92-6404,6/30/1959,58,Female,1754.53,S0047
Larry Snyder,512-47-8182,7/23/1990,27,Male,942.87,Q7181
Jerry Kim,629-15-6183,12/28/1973,43,Male,1788.78,E1037
Laura Diaz,388-98-6299,3/15/2008,9,Female,377.72,S0047
Amanda Perry,274-51-4587,8/20/1989,28,Female,1147.4,S0047
Michael Freeman,402-49-3240,6/11/1993,24,Male,1487.26,S0047
Margaret Richards,449-17-1858,11/9/1983,33,Female,1238.71,S0047
Catherine Ferguson,204-52-4802,12/7/1962,54,Female,273.18,R1934
Teresa Stephens,200-19-1349,10/26/1991,25,Female,1348.65,T2117
Adam Johnston,991-38-4099,12/4/1975,41,Male,677.83,S0047
